date,lat,lon,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,bsi_mean
2020-01-14,4045140.0,654900.0,0.20840073916004,0.059244846236398,-0.1795241538241,-0.059244846236398,-0.043765925706139
2021-01-03,4045140.0,654900.0,-0.012588541495467,-0.0001961595590747,0.083271444034699,0.24567964673042297,-0.068448556060311
2022-01-05,4145100.0,654900.0,0.5065352916717529,0.9232903718948364,0.5061537623405457,0.07671106606721878,0.419637531042099
2022-06-04,4145100.0,654900.0,0.530320405960083,0.8012831211090088,0.44544264674186707,0.1987161785364151,0.4995989501476288
2022-01-30,4045140.0,654900.0,0.5714284777641296,0.6107389330863953,0.4242490231990814,0.3892604410648346,0.38521677255630493
2022-05-13,4045140.0,654900.0,0.47738584876060486,0.6078751683235168,0.41809144616127014,0.3921245336532593,0.3423864543437958
2022-05-20,4145100.0,654900.0,0.5221197605133057,0.489613801240921,0.4934517741203308,0.5103865265846252,0.48324882984161377
2023-08-01,4045140.0,654900.0,0.5906274318695068,0.5780254602432251,0.3411908447742462,0.4219760298728943,0.45376983284950256
2023-08-01,4145100.0,654900.0,0.3739861845970154,0.639934241771698,0.6003822088241577,0.3600645661354065,0.30180594325065613
2023-08-01,4045140.0,654900.0,0.5962020754814148,0.5755402445793152,0.3321554958820343,0.4244585335254669,0.4606534242630005
2023-08-01,4145100.0,654900.0,0.37974220514297485,0.6311895847320557,0.5938048362731934,0.3688088357448578,0.3023223578929901
2023-08-08,4045140.0,654900.0,0.471690833568573,0.48683443665504456,0.5252208709716797,0.5131657719612122,0.46154478192329407
2023-08-11,4045140.0,654900.0,0.6457799673080444,0.604715883731842,0.29800429940223694,0.3952835202217102,0.33575549721717834
2023-08-11,4145100.0,654900.0,0.42062628269195557,0.6675767302513123,0.5864365100860596,0.33242401480674744,0.2662675678730011
2023-08-11,4145100.0,654900.0,0.4173336923122406,0.6563666462898254,0.6503812074661255,0.3436346650123596,0.2809678912162781
2023-08-18,4145100.0,654900.0,0.46511369943618774,0.5463626384735107,0.5635784864425659,0.45363691449165344,0.4202811121940613
2023-08-18,4045140.0,654900.0,0.5461089611053467,0.42962896823883057,0.4530686140060425,0.570371150970459,0.5271916389465332
2023-08-21,4045140.0,654900.0,0.5976532697677612,0.5488110184669495,0.44075971841812134,0.4511893689632416,0.4683535695075989
2023-08-21,4145100.0,654900.0,0.4954128861427307,0.6412818431854248,0.4518658220767975,0.3587179481983185,0.28124693036079407
2023-08-21,4145100.0,654900.0,0.4965692460536957,0.6406285762786865,0.5134097933769226,0.3593694567680359,0.3055393397808075
2023-09-10,4045140.0,654900.0,0.5526584386825562,0.553433358669281,0.4242503345012665,0.4465671181678772,0.43517231941223145
2023-09-10,4145100.0,654900.0,0.45103612542152405,0.6380751132965088,0.5492838621139526,0.3619236648082733,0.29420873522758484
2023-09-17,4045140.0,654900.0,0.5159444808959961,0.5872949361801147,0.3163888454437256,0.41270560026168823,0.5179890394210815
2023-09-17,4145100.0,654900.0,0.4492065906524658,0.5883347392082214,0.6107412576675415,0.41166695952415466,0.5784117579460144
2023-09-17,4045140.0,654900.0,0.6088821887969971,0.7415583729743958,0.25501373410224915,0.25844237208366394,0.5243266224861145
2023-09-17,4145100.0,654900.0,0.47326532006263733,0.6130212545394897,0.6967810392379761,0.38697734475135803,0.4754588305950165
2023-09-30,4145100.0,654900.0,0.46007654070854187,0.5701978206634521,0.527215301990509,0.4298016130924225,0.30731430649757385
2023-09-30,4145100.0,654900.0,0.5028783082962036,0.5544097423553467,0.5046945810317993,0.4455897808074951,0.3285525441169739
2023-10-10,4045140.0,654900.0,0.5980507135391235,0.6067248582839966,0.4669552147388458,0.39327457547187805,0.3356790840625763
2023-10-10,4145100.0,654900.0,0.3331397771835327,0.6884381771087646,0.6627008318901062,0.3115615248680115,0.22357295453548431
2023-10-10,4145100.0,654900.0,0.3078445792198181,0.6814188361167908,0.6911372542381287,0.318582683801651,0.19338566064834595
2023-11-16,4045140.0,654900.0,0.5374817252159119,0.7476872205734253,0.44993656873703003,0.25231462717056274,0.4517046809196472
2023-11-16,4145100.0,654900.0,0.5034902095794678,0.9332631230354309,0.5021136999130249,0.0667354092001915,0.41290587186813354
2023-12-26,4045140.0,654900.0,0.5507768988609314,0.7729928493499756,0.45291048288345337,0.2270064800977707,0.441193163394928
2023-07-27,4045140.0,654900.0,0.5394368767738342,0.6014144420623779,0.44278964400291443,0.3985852897167206,0.35169485211372375
2023-07-27,4145100.0,654900.0,0.3933878242969513,0.6635578870773315,0.5674875378608704,0.33644312620162964,0.2566985785961151
2023-07-27,4045140.0,654900.0,0.5427250862121582,0.5952420234680176,0.44919371604919434,0.4047583341598511,0.34765270352363586
2023-07-27,4145100.0,654900.0,0.3955008387565613,0.659547746181488,0.5816891193389893,0.3404524326324463,0.2566816806793213
2023-08-03,4045140.0,654900.0,0.46730858087539673,0.5851342678070068,0.5535268783569336,0.41486552357673645,0.5098558068275452
2023-08-03,4145100.0,654900.0,0.49306148290634155,0.8631083369255066,0.5196641087532043,0.13689225912094116,0.4916488230228424
2023-08-03,4045140.0,654900.0,0.5915116667747498,0.6734101176261902,0.4316648840904236,0.32658857107162476,0.5590574741363525
2023-08-03,4145100.0,654900.0,0.8427409529685974,0.8661227226257324,0.3429759442806244,0.13387686014175415,0.18015077710151672
2023-08-06,4145100.0,654900.0,0.35045188665390015,0.6475423574447632,0.624228835105896,0.35245683789253235,0.2912048399448395
