
country,area,two_thousand_area,two_thousand_percent,two_thousand_ten_area,two_thousand_ten_percent,delta_area,delta_percent
Bonaire Sint Eustatius and Saba,32366,2432,7.514057962058951,3737,11.546066860285485,-1305,-4.032008898226534
Bosnia and Herzegovina,5106883,2657977,52.0469531023131,2579843,50.516978752009784,78134,1.5299743503033063
Botswana,57788401,20328,0.03517660922993872,4581,0.007927196324397347,15747,0.02724941290554137
Brazil,850035650,519187508,61.078321597453,498198382,58.60911621765511,20989126,2.4692053797978946
British Virgin Islands,16932,7464,44.08221119773211,7182,42.41672572643515,282,1.6654854712969525
Brunei,577779,529339,91.61617158117551,528770,91.517691020269,569,0.09848056090650577
Bulgaria,11158731,4138948,37.09156534018071,3957412,35.46471368473709,181536,1.6268516554436163
Burkina Faso,27341711,132,0.0004827788575484541,2239,0.008188953500386278,-2107,-0.0077061746428378234
Burundi,2693531,537674,19.96167855502684,553131,20.535534953932217,-15457,-0.5738563989053773
Cambodia,18135961,8809930,48.577133574559404,7641740,42.1358427049992,1168190,6.441290869560207
Cameroon,46604006,31459332,67.50349315464426,30543474,65.53830157862394,915858,1.9651915760203102
Canada,983422993,418066982,42.511410143529154,421403219,42.85065755016367,-3336237,-0.33924740663451214
Cape Verde,409098,7356,1.7981021662291188,6767,1.654126884022899,589,0.14397528220621952
Caspian Sea,37158134,141764,0.38151539041223115,173395,0.46664076296188606,-31631,-0.08512537254965494
Cayman Islands,28040,13458,47.99572039942939,14365,51.230385164051356,-907,-3.234664764621969
Central African Republic,62019959,47073501,75.9005677511009,47240766,76.17026318898405,-167265,-0.26969543788314987
Chad,126995175,409749,0.3226492660055786,622312,0.49002806602691795,-212563,-0.1673788000213394
Chile,75735292,19287066,25.46641795478916,20796593,27.45957987459796,-1509527,-1.9931619198087993
China,938212419,162740095,17.3457621860791,154431608,16.46019652613445,8308487,0.8855656599446484
Clipperton Island,1009,0,0,0,0,0,0
Colombia,113675875,81801036,71.95989122582078,81738198,71.90461300605779,62838,0.05527821976298841
Comoros,167305,134784,80.56184812169391,132154,78.98986880248647,2630,1.5719793192074356
Costa Rica,5117667,3913049,76.46157907499648,3869963,75.61967201070331,43086,0.8419070642931633
Croatia,5707840,2431308,42.59593821831025,2348220,41.14025620900376,83088,1.4556820093064977
Cuba,11073122,4014607,36.255421009540036,4239756,38.28871387852495,-225149,-2.033292868984917
Curaçao,43777,5261,12.017726203257418,4571,10.44155606825502,690,1.5761701350023984
Cyprus,571956,89658,15.675681346117534,91628,16.02011343529922,-1970,-0.34443208918168533
Czech Republic,7883559,3080384,39.073519967314255,3225755,40.917496780324726,-145371,-1.843976813010469
Côte d'Ivoire,32165794,14872640,46.2374409287083,13953284,43.379261833238125,919356,2.8581790954701756
Democratic Republic of the Congo,232912781,199281687,85.5606489881721,198452936,85.20482866932065,828751,0.3558203188514588
Denmark,4314472,663204,15.371614417708587,720290,16.694742717069435,-57086,-1.3231282993608489
Djibouti,2186336,0,0,0,0,0,0
Dominica,75428,70925,94.03006840960916,70694,93.72381608951584,231,0.30625232009333403
Dominican Republic,4809195,2576426,53.57291604935961,2454727,51.04236779752121,121699,2.5305482518384053
Ecuador,25611546,19027559,74.29289508723917,19227280,75.07270353769351,-199721,-0.7798084504543381
Egypt,98376439,154304,0.15685056459504496,143312,0.14567715751532742,10992,0.011173407079717533
El Salvador,2042273,988823,48.417767849841816,921958,45.14371976714181,66865,3.2740480827000114
Equatorial Guinea,2695935,2654595,98.4665802402506,2630328,97.56644726226708,24267,0.9001329779835197
Eritrea,12045733,5,0.00004150847441164436,43,0.0003569728799401415,-38,-0.0003154644055284971
Estonia,4548974,2639429,58.022512329153784,2725544,59.91557656737541,-86115,-1.8930642382216298
Ethiopia,112951807,12040336,10.659710826937014,12361078,10.943674411512513,-320742,-0.28396358457549953
Falkland Islands,1239765,2188,0.17648505966856623,16830,1.3575153355676277,-14642,-1.1810302758990616
Faroe Islands,143971,0,0,0,0,0,0
Fiji,1808231,1556559,86.08186675264388,1418744,78.46032946011876,137815,7.621537292525125
